ID,LIMIT_BAL,PAY_0,PAY_2,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,PAY_AMT4,default.payment.next.month
9046,230000,0,0,66108,45000,6840,3000,2000,0
9047,30000,0,0,28191,27166,1600,1300,1200,0
9048,20000,1,-1,0,1825,3650,0,0,0
9049,140000,-1,-1,854,0,0,0,0,0
9050,5.00E+05,0,0,39291,29122,1700,1174,1013,0
9051,120000,1,-2,0,0,0,0,0,0
9052,70000,0,0,63745,55670,2294,2100,2000,1
9053,280000,-1,-1,25040,41270,41275,570,48313,0
9054,130000,-1,-1,780,0,0,390,390,0
9055,70000,0,0,68971,69872,2700,3100,2500,1
9056,340000,-1,-1,14087,11007,11013,17025,9200,0
9057,210000,-1,-1,1832,1074,1074,1002,420,0
9058,80000,-1,-1,3072,2856,2856,0,0,0
9059,120000,-1,-1,316,71316,71316,316,2766,0
9060,1.00E+05,0,0,102697,100462,4600,4000,4000,0
9061,20000,0,0,14720,15432,3880,1200,5390,0
9062,220000,2,2,243517,228368,0,10000,7001,0
9063,70000,2,2,44347,43357,0,4000,2000,1
9064,20000,0,0,73404,75132,2600,2500,1000,0
9065,1.00E+05,0,0,54933,56151,2700,2055,2500,0
9066,110000,0,0,49782,50858,1878,1800,1892,0
9067,80000,2,2,3682,4714,3193,0,5471,0
9068,30000,1,-1,0,686,686,409,2844,0
9069,30000,0,-1,27816,1250,1260,24135,2000,0
9070,60000,0,0,57753,59186,2960,1628,1100,1
9071,50000,0,0,44421,45897,2500,2100,3900,0
9072,260000,0,0,222134,223345,10020,10007,10003,0
9073,5.00E+05,0,0,201500,196051,10000,7031,5663,0
9074,110000,-1,2,549,179,0,1166,446,0
9075,30000,2,2,27126,29970,3600,0,1300,0
9076,180000,-1,-1,8260,5921,5921,0,0,1
9077,170000,1,-1,0,3209,3209,0,0,1
9078,320000,-1,-1,800,18873,18873,0,21565,1
9079,10000,0,0,9269,10400,1400,0,0,1
9080,50000,1,5,48481,47426,0,10000,0,0
9081,170000,1,-2,0,0,0,0,500,1
9082,120000,0,0,120290,116082,6000,6000,9000,0
9083,30000,1,2,32724,29279,0,1500,680,0
9084,160000,0,0,157186,136159,6227,5000,3000,0
9085,50000,2,2,45722,46694,2000,2000,2000,1
9086,30000,0,-1,4180,390,390,0,0,0
9087,50000,0,0,47606,48653,1815,2306,2000,0
9088,240000,1,-1,0,396,396,396,396,0
9089,50000,0,0,45771,23343,2266,0,2769,0
9090,180000,4,4,83020,84654,3500,0,0,1
9091,5.00E+05,0,0,215459,201715,7412,4721,3622,0
9092,240000,0,0,223045,218120,9490,8163,7197,0
9093,50000,0,0,30101,0,434,780,0,0
9094,50000,2,0,6425,4580,1050,0,0,1
9095,220000,0,0,197600,201708,8200,5100,3300,0
9096,2.00E+05,1,-2,0,0,0,0,0,1
9097,230000,-1,-1,4043,10609,10670,5008,2282,0
9098,20000,0,0,15552,16596,1300,1300,800,0
9099,130000,2,2,41795,43914,3100,1500,1600,1
9100,1.00E+05,0,0,95549,98909,5025,2939,15761,0
9101,20000,0,0,15972,16432,1500,1600,354,1
9102,50000,0,0,48801,50140,2144,1000,622,0
9103,140000,2,2,78663,76839,0,5000,0,1
9104,90000,0,0,23730,24693,2000,5000,25000,0
9105,290000,1,-1,1358,2586,2613,11101,2839,0
9106,180000,0,0,181385,170946,8194,8500,5000,1
9107,2.00E+05,1,-2,0,0,0,0,0,1
9108,110000,2,2,95686,98374,5100,3700,4000,1
9109,50000,0,0,17141,18361,1500,1211,520,0
9110,290000,-2,-2,10608,34470,34470,11890,3501,0
9111,380000,2,2,88069,90418,4400,0,3500,1
9112,480000,0,0,428927,436425,15000,30000,12000,0
9113,30000,0,0,18830,0,0,0,0,0
9114,380000,0,0,211463,201613,10000,10000,20000,0
9115,340000,0,0,221587,216472,8409,8500,8500,0
9116,30000,0,0,17358,-36,0,23150,0,0
9117,2.00E+05,-1,-1,15456,46620,46722,22985,971,0
9118,360000,0,0,40514,31871,1800,2025,2000,0
9119,160000,-1,-1,316,632,632,0,316,1
9120,50000,1,1,50209,-2522,0,2931,5270,0
9121,2.00E+05,-2,-2,1473,1473,1473,390,540,0
9122,60000,0,0,39264,41622,3000,2000,2000,0
9123,80000,-1,2,780,390,0,390,390,0
9124,1.00E+05,2,2,50721,49635,0,2000,2000,1
9125,330000,-2,-2,18807,15865,2087,10054,21101,1
9126,5.00E+05,-2,-2,0,5218,5218,3981,3672,0
9127,180000,0,0,54842,55435,2073,2359,3000,0
9128,2.00E+05,0,0,120515,117292,3030,4452,708,0
9129,420000,0,0,304964,312224,14000,11230,8091,0
9130,110000,0,0,34486,43872,10000,2000,2000,0
9131,50000,2,0,50710,45641,1974,1552,498,1
9132,130000,0,0,17505,18529,1312,1328,1000,1
9133,250000,0,0,168899,174479,10000,8300,5500,0
9134,50000,-1,-1,528,378,378,0,3263,0
9135,260000,0,0,99523,76712,3514,3049,3018,0
9136,240000,0,0,16135,249258,234000,30,7023,0
9137,3.00E+05,0,0,24763,33484,10700,0,4000,0
9138,2.00E+05,-1,-1,82831,15081,15089,32130,6619,0
9139,6.00E+05,-1,-1,22921,11441,11444,23537,17348,0
9140,130000,0,0,88345,94597,8600,0,7100,0
9141,150000,-2,-2,9625,2099,2099,5306,1686,0
9142,2.00E+05,-2,-1,-1883,9208,15143,100057,10019,0
9143,80000,1,2,46461,47526,2100,0,1800,1
9144,60000,0,0,30834,33011,3000,2000,4000,0
9145,360000,1,-2,0,0,0,0,0,0
9146,110000,0,0,70204,69876,2745,2800,2200,0
9147,70000,3,2,69852,67531,0,2708,1010,1
9148,50000,1,-2,0,0,0,71,3800,1
9149,10000,0,0,2496,4245,1800,500,0,1
9150,120000,0,0,117446,117781,4400,8002,4200,0
9151,220000,-1,-1,8840,1369,6643,5924,1824,0
9152,440000,-1,2,1137,343,0,1300,2777,1
9153,50000,-1,-1,1261,1261,1261,1261,300,0
9154,210000,0,0,155913,165227,13000,0,24886,0
9155,490000,0,-1,13955,10859,52280,57428,3000,0
9156,160000,-1,-1,4180,7781,7781,1276,6180,0
9157,180000,0,0,46202,47359,2200,2111,1500,0
9158,330000,0,0,123813,127050,5100,10600,5000,0
9159,20000,0,0,17650,18740,2500,1000,1000,0
9160,120000,0,0,93822,96916,4848,4877,3600,0
9161,360000,-2,-2,-28,-28,0,1100,10819,0
9162,440000,0,0,217407,219860,8005,50000,9000,0
9163,70000,0,0,62694,63995,1818,3000,2458,0
9164,230000,1,-1,3884,949,949,2873,0,0
9165,30000,2,0,26177,27249,1800,3000,2400,1
9166,260000,0,0,176688,179281,6929,5088,4789,0
9167,30000,2,2,18941,24602,6000,0,0,1
9168,20000,-1,2,190,2946,1473,1473,0,1
9169,70000,0,0,69997,41409,1700,3018,3000,0
9170,90000,0,0,68476,68485,4017,4000,5000,0
9171,70000,2,0,29773,30542,1550,3000,1200,1
9172,30000,1,2,29676,28532,0,1493,420,0
9173,270000,0,0,32108,32784,15000,10000,10000,0
9174,30000,0,0,25989,27100,1533,1301,947,0
9175,410000,-2,-2,0,0,0,0,0,1
9176,240000,0,0,151127,155421,10000,10000,1000,0
9177,30000,0,0,30589,31547,1488,1400,3000,0
9178,110000,0,0,56573,26953,2000,2000,0,0
9179,20000,0,0,17850,15528,2019,2000,1000,0
9180,5.00E+05,-2,-2,735,-5,0,0,500,0
9181,240000,0,0,308013,190907,7000,6615,6503,0
9182,140000,0,0,137585,131666,6200,4246,3000,0
9183,50000,0,0,42058,35340,1367,1606,709,0
9184,130000,0,0,32464,33805,1867,1872,1500,0
9185,50000,0,0,50448,34741,2017,2130,2000,1
9186,260000,-1,-1,359,7822,9188,13907,10413,0
9187,1.00E+05,-1,-1,1131,291,291,291,291,0
9188,30000,2,2,25280,24589,0,2000,0,1
9189,60000,-1,-1,440,880,880,0,0,0
9190,20000,0,0,15791,18218,3000,1000,700,1
9191,60000,3,2,33866,33041,0,2900,1200,1
9192,350000,2,2,52949,-4577,3682,0,0,0
9193,130000,2,2,133894,130312,0,7347,3450,1
9194,390000,2,2,185111,172865,5000,3000,4548,0
9195,460000,2,2,2495,2495,0,0,0,1
9196,30000,0,0,27838,28791,1703,1200,2500,1
9197,170000,-1,-1,10316,2798,2798,4022,2062,1
9198,20000,3,2,20771,19935,0,1000,2000,1
9199,260000,0,0,12695,9277,4005,4150,0,0
9200,190000,0,0,161248,157952,6500,7000,7000,0
9201,480000,0,0,470317,469673,18507,19307,28001,0
9202,60000,0,0,58760,57635,2500,2000,3000,0
9203,260000,0,0,256359,208852,10027,10107,10000,0
9204,50000,-2,-2,48781,50283,2283,2400,350,0
9205,160000,0,0,76038,64399,2791,3000,890,0
9206,280000,-1,-1,768,786,788,1383,143,0
9207,290000,0,0,161623,166345,11200,6000,6000,0
9208,240000,-1,-1,8020,717,724,0,0,0
9209,20000,0,0,7434,8453,1300,3000,0,0
9210,230000,-1,-1,1856,32254,32254,4819,4712,0
9211,120000,0,0,46736,75853,30000,5000,3900,1
9212,4.00E+05,-2,-2,1202,-14,0,2907,13869,0
9213,80000,1,2,64575,65961,3000,0,2500,0
9214,2.00E+05,0,-1,74418,3251,3251,86804,29000,0
9215,20000,1,4,17453,16898,0,0,0,1
9216,1.00E+05,-1,2,214,107,0,214,107,1
9217,150000,-1,-1,1180,7667,7705,9047,33,1
9218,180000,0,0,178239,178856,7969,6379,10671,1
9219,5.00E+05,-1,-1,396,396,396,396,396,1
9220,360000,-1,-1,4000,311,311,920,157,0
9221,320000,-1,-1,3872,5409,5409,16778,0,0
9222,220000,1,-2,0,0,0,0,0,1
9223,50000,1,2,29003,29244,1000,2363,0,1
9224,310000,-2,-2,960,1863,1869,2681,2654,0
9225,50000,0,0,16242,13277,1215,1087,309,0
9226,160000,0,0,21905,22473,1373,1000,0,0
9227,280000,-1,-1,415,415,415,415,830,0
9228,20000,4,3,12480,12001,0,0,1300,1
9229,60000,-1,-1,390,780,780,0,371,1
9230,390000,0,0,178087,185212,10000,7001,10000,0
9231,50000,1,-2,0,0,0,0,0,0
9232,450000,-1,-1,757,1422,1422,2000,20030,0
9233,180000,0,0,171041,111580,5000,3340,1000,0
9234,140000,2,2,145627,145339,6005,210,0,0
9235,40000,1,2,21576,23242,3000,0,1062,0
9236,80000,0,0,24906,26242,2000,1800,3000,0
9237,240000,-1,-1,4215,0,0,0,0,0
9238,80000,0,0,69963,64081,5000,2012,3000,0
9239,360000,0,0,167370,183070,20000,16000,20000,0
9240,3.00E+05,-1,-1,3862,-3,0,6370,3749,0
9241,390000,-2,-2,0,0,0,1630,2400,0
9242,320000,-1,-1,14515,0,0,0,0,1
9243,220000,0,0,52593,65221,15000,10000,5000,0
9244,340000,0,0,132024,135687,6400,7000,5200,0
9245,90000,1,-1,0,323,323,0,1651,0
9246,130000,0,0,7547,3773,1011,4345,2285,0
9247,160000,2,-1,833,833,833,833,833,1
9248,280000,-2,-2,101259,7224,7259,11055,0,1
9249,310000,-1,-1,1276,3666,3666,2787,0,0
9250,130000,0,0,30857,43333,13333,0,0,0
9251,180000,0,0,149218,217602,10915,5,10000,0
9252,30000,1,2,30559,26457,129,1456,1050,0
9253,170000,-1,-1,8069,2855,2855,11900,12916,1
9254,240000,-1,-1,17882,367,403,4838,4661,0
9255,70000,0,0,52440,55961,5000,10000,5000,0
9256,110000,1,-1,-100,200,500,400,3000,1
9257,20000,1,2,14428,14310,480,0,0,1
9258,210000,-1,-1,7056,2881,3033,1172,0,0
9259,20000,0,0,20040,17850,1499,1099,2000,0
9260,360000,-1,-1,1999,10145,10145,4723,3569,0
9261,80000,0,0,71720,73024,3234,3075,1091,0
9262,170000,0,0,55623,49216,2253,1888,3782,0
9263,70000,0,0,3878,4957,1300,1500,500,0
9264,110000,0,0,26000,9000,1500,63853,2062,0
9265,10000,0,0,8128,8470,1400,2500,0,0
9266,60000,0,0,17191,17864,1700,1600,1000,0
9267,220000,0,0,38647,27796,2017,3000,0,0
9268,50000,0,0,21171,22698,2028,2000,2000,0
9269,50000,0,-1,1470,627,627,14596,716,0
9270,70000,0,0,23790,23880,1425,1388,906,0
9271,180000,0,0,145574,108617,3907,3600,3542,0
9272,60000,2,2,60705,62352,3200,0,0,1
9273,1.00E+05,2,2,44421,45504,2100,1700,2000,1
9274,5.00E+05,0,0,24677,28287,7013,8071,8012,0
9275,50000,0,0,26533,16426,1000,0,0,0
9276,340000,-1,-1,24583,1954,1964,11337,1933,0
9277,450000,-1,-1,3960,4397,4412,2180,11502,0
9278,160000,-1,-1,813,1351,1351,0,215,0
9279,180000,0,0,177017,107267,20135,12099,49000,0
9280,50000,1,-1,-8,37230,18631,1000,0,1
9281,5.00E+05,1,2,91662,88467,0,4500,8,0
9282,80000,-1,-1,3796,7913,7913,1000,6000,0
9283,280000,-1,-1,4792,3410,3410,2295,582,0
9284,240000,2,2,239633,242710,9000,0,9000,0
9285,20000,0,0,15036,16069,1580,1280,700,0
9286,50000,0,0,46858,22534,2000,4131,1000,0
9287,1.00E+05,2,2,46195,47166,2000,0,1800,1
9288,80000,1,3,84054,82194,3,5,0,1
9289,150000,-1,-1,7296,1819,1819,1012,0,1
9290,220000,1,2,105348,106432,4268,3251,5000,1
9291,270000,0,0,131310,123737,6000,5700,3700,0
9292,230000,0,0,26214,26504,2000,1067,104160,0
9293,140000,0,0,106298,111040,6451,15000,0,1
9294,180000,-1,-1,4289,1000,1000,0,0,0
9295,140000,1,2,28332,27464,0,28,3800,0
9296,30000,0,0,20290,24727,5100,0,0,1
9297,80000,0,0,25028,26054,3033,3379,0,0
9298,140000,0,0,131026,130023,5006,2169,2122,0
9299,20000,0,0,18878,19286,1318,1289,669,0
9300,360000,-1,-1,797,357,360,759,0,0
9301,130000,-2,-2,9821,8582,8611,0,1170,1
9302,70000,1,2,31919,31123,0,1600,3000,1
9303,3.00E+05,-1,-1,2930,1610,1610,0,0,0
9304,5.00E+05,-2,-2,71731,75357,25487,80389,22208,0
9305,20000,0,0,39508,16063,2546,1300,700,0
9306,140000,-1,3,104144,106179,5200,4000,4000,1
9307,4.00E+05,1,-2,0,0,0,890,0,0
9308,30000,0,0,15280,16230,1500,1500,2600,1
9309,50000,2,2,12632,13131,1000,2000,5000,0
9310,380000,0,0,88112,91640,4569,4000,5000,0
9311,360000,-2,-2,5497,3300,3000,512,2473,1
9312,620000,-1,-1,31400,32166,32335,17244,76300,0
9313,2.00E+05,0,0,83858,66979,3207,3042,2008,0
9314,20000,-1,2,19744,19137,0,1200,5000,1
9315,170000,-1,-1,5539,337,1147,11477,3000,1
9316,250000,0,0,195126,199972,9500,10800,3000,0
9317,120000,1,-2,0,0,0,0,0,1
9318,150000,0,0,96396,98366,4073,3404,54788,0
9319,2.00E+05,2,0,199802,195038,9231,4872,2637,0
9320,2.00E+05,0,0,91415,79928,20387,2023,1549,0
9321,180000,0,0,97925,98817,4303,4200,3700,0
9322,5.00E+05,0,0,119451,143348,26000,20000,50000,0
9323,20000,0,0,13867,14834,1500,1450,429,0
9324,5.00E+05,0,0,342548,290244,8628,6242,7945,1
9325,80000,-1,-1,15739,17253,17253,35369,14249,0
9326,80000,0,0,71988,76940,6200,2000,6278,0
9327,360000,0,0,36590,29751,1400,1000,3000,0
9328,230000,-1,-1,12089,2306,2306,13835,46963,0
9329,70000,3,2,21986,21351,0,1400,2000,1
9330,20000,-2,-2,1000,0,0,25464,800,0
9331,250000,0,0,215928,221963,9510,8160,8493,0
9332,4.00E+05,0,0,61705,58018,3000,3000,4000,0
9333,420000,-1,-1,3790,19292,19292,15087,287,0
9334,320000,0,0,31989,35554,5001,92586,15001,0
9335,30000,0,0,29108,29806,1800,1800,1560,1
9336,470000,0,0,290137,294980,15128,12235,10019,0
9337,70000,1,2,65779,34480,3000,0,4000,1
9338,70000,-1,0,18193,19241,1352,1237,726,1
9339,30000,0,0,22399,25859,5000,1500,3000,0
9340,30000,1,2,14274,14367,1000,0,0,1
9341,30000,2,2,30330,30948,1400,0,602,1
9342,70000,0,0,67306,69023,3400,2310,1600,0
9343,20000,0,0,16350,17382,1300,1400,1000,0
9344,210000,2,2,200332,195530,0,6800,4500,1
9345,170000,-1,-1,1000,1000,1000,3000,1000,0
9346,3.00E+05,-1,-1,86267,78176,78580,48408,5145,0
9347,10000,0,0,7199,8275,1350,1270,350,1
9348,50000,-2,-2,220,220,220,677,666,0
9349,2.00E+05,1,2,35706,34064,1500,2547,2500,0
9350,220000,-1,-1,2978,125,125,15064,1011,0
9351,4.00E+05,-1,-1,14986,25772,25772,1500,3378,0
9352,260000,-1,-1,449,1340,1340,0,0,0
9353,10000,0,-1,10000,7419,7419,1400,500,0
9354,140000,0,0,23702,23917,1457,1000,435,0
9355,50000,0,0,97348,49221,3711,1060,888,0
9356,330000,0,0,18516,24202,10000,10000,5000,0
9357,130000,-2,-2,-200,-200,0,200,0,1
9358,360000,-2,-1,0,883,883,4,557,0
9359,450000,-1,0,9845,11991,3000,10000,10000,0
9360,5.00E+05,-1,-1,15401,23032,23128,40105,71852,0
9361,240000,-1,-1,8383,3470,3470,2220,3356,0
9362,60000,1,2,9045,7910,1000,1000,2000,0
9363,340000,0,0,76166,83909,10000,115000,6000,0
9364,5.00E+05,-1,-1,7855,17481,17512,12021,0,0
9365,270000,0,0,121065,96197,3500,3349,3800,1
9366,50000,0,0,24060,17474,1400,1183,1200,0
9367,20000,0,0,11455,12866,2000,1500,1000,0
9368,130000,-1,-1,9164,4603,4605,5000,0,0
9369,2.00E+05,0,0,110778,111431,3796,4262,5834,1
9370,360000,0,0,336179,173781,6781,7226,5346,0
9371,90000,0,-1,15000,1055,1055,0,2000,1
9372,2.00E+05,-1,-1,1662,2482,2482,19272,10000,0
9373,80000,-1,-1,21057,2282,2282,0,0,0
9374,30000,1,2,29334,28198,0,2457,3000,0
9375,50000,0,0,48566,47893,2000,2313,875,0
9376,50000,0,0,53282,50936,3000,2300,1000,1
9377,450000,-1,-1,2000,0,0,1173,6265,1
9378,130000,0,0,3811,8692,5000,2000,2500,1
9379,350000,0,0,53562,49396,2045,1660,1300,0
9380,20000,-2,-2,20732,19981,2,431,0,1
9381,170000,0,0,21958,22572,1300,2000,2000,0
9382,240000,1,2,47320,46392,0,6000,14,0
9383,130000,0,0,77939,78524,3916,3000,3000,0
9384,360000,1,-2,0,0,0,0,0,0
9385,10000,1,4,9526,9240,0,0,468,0
9386,10000,2,0,8965,8640,1228,1000,196,1
9387,2.00E+05,-1,-1,7109,9999,10025,5300,0,0
9388,150000,0,0,39883,41045,1806,1462,0,0
9389,50000,0,0,47423,33843,1600,1600,1200,0
9390,40000,1,2,39826,40690,1900,390,2500,0
9391,4.00E+05,-2,-2,4279,100815,101319,15942,4903,0
9392,80000,-1,2,832,416,0,832,832,1
9393,50000,-1,2,2809,187,0,3141,0,0
9394,170000,0,0,142118,144803,7040,6165,5003,0
9395,190000,0,0,47713,49242,3000,5000,60000,0
9396,20000,0,0,19724,19581,1000,0,0,1
9397,30000,1,3,12271,11791,0,0,500,0
9398,20000,0,0,14492,15759,1500,2000,500,0
9399,390000,0,0,171189,176989,10000,10000,10000,0
9400,1.00E+05,0,0,82583,83398,3035,3100,3500,1
9401,50000,0,0,44849,41873,2550,1636,1000,1
9402,120000,0,0,67094,69010,3000,3000,2600,0
9403,80000,-1,-1,329,49,500,320,400,0
9404,340000,0,0,132749,134235,5290,6706,241,0
9405,110000,0,0,111271,111532,6000,4016,3000,0
9406,90000,-1,-1,390,0,0,0,1560,0
9407,10000,0,0,2989,3454,2000,1000,390,1
9408,160000,-2,-2,0,0,0,0,0,0
9409,170000,1,2,23535,22876,0,3503,1078,0
9410,440000,-2,-2,8325,-4341,0,752,284,0
9411,310000,0,0,6023,23782,18000,3000,500,0
9412,110000,0,0,106670,108727,6000,3300,3008,0
9413,50000,1,-2,0,0,0,0,0,0
9414,1.00E+05,2,2,97284,99542,4700,2950,5,1
9415,350000,0,0,42518,31386,1740,1000,448,0
9416,310000,1,2,192910,188501,0,7000,1,0
9417,120000,0,0,109399,109397,3900,1700,1400,0
9418,50000,1,-1,-1159,40819,48000,3009,321,0
9419,3.00E+05,1,2,10566,11293,1200,1200,55000,0
9420,130000,2,2,172094,156589,0,3300,2778,0
9421,260000,-1,-1,1943,855,855,7288,710,0
9422,490000,-2,-2,-13,2639,2652,1618,1426,0
9423,5.00E+05,-1,-1,14872,53132,53421,74559,907,0
9424,30000,-2,-2,9634,4476,7,7002,155,0
9425,60000,0,0,32632,34099,2000,2000,0,1
9426,140000,0,0,55444,57549,3000,5000,3000,0
9427,180000,0,0,149525,152460,7320,6100,4800,0
9428,20000,0,0,18436,19219,1500,1000,0,0
9429,50000,0,0,40117,45598,6138,0,0,1
9430,4.00E+05,2,0,24054,25381,1624,1328,3000,0
9431,20000,1,-1,0,5536,5536,14000,500,0
9432,430000,-1,-1,8894,11198,11198,14861,951,0
9433,4.00E+05,-2,-2,110,532,587,2651,644,0
9434,2.00E+05,-1,-1,694,2695,2721,660,1290,1
9435,10000,-1,-1,656,8748,10128,1200,323,0
9436,80000,2,2,76292,77465,3006,5250,18431,0
9437,140000,0,0,115743,117357,5000,5000,4000,0
9438,20000,2,2,24611,18920,0,1200,1015,1
9439,340000,2,-1,411,10983,11038,8591,8251,0
9440,230000,-1,-1,5630,390,390,5090,0,1
9441,120000,-1,2,200,200,0,42000,0,0
9442,210000,0,0,8011,5832,1126,2400,205,0
9443,80000,0,0,45392,46723,5000,2000,2000,0
9444,150000,-1,-1,3084,-1,0,601,0,0
9445,130000,0,0,126750,119997,5996,4148,2346,0
9446,20000,-1,2,17007,16200,0,0,500,1
9447,2.00E+05,0,0,204541,170572,7186,3900,0,0
9448,2.00E+05,-1,-1,99,99,99,99,99,0
9449,80000,0,0,78028,79347,3200,2229,4000,0
9450,80000,-1,-1,2688,2208,2208,0,0,1
9451,5.00E+05,-1,-1,150758,62931,63256,21408,4482,0
9452,50000,2,2,15641,15105,0,2000,0,1
9453,2.00E+05,-1,-1,798,4130,4150,6952,1426,0
9454,80000,0,0,4089,5015,1042,1000,9354,0
9455,50000,0,0,47169,48197,1804,1746,1695,0
9456,130000,0,0,117471,104341,3857,3734,3029,0
9457,310000,-1,-1,2948,62593,62635,100042,9184,0
9458,190000,2,-1,2461,8040,8040,2000,5100,1
9459,1.00E+05,0,0,70878,72753,3100,2640,3000,1
9460,230000,-1,-1,2130,62469,62469,5000,5000,0
9461,70000,0,0,66174,67555,3000,2000,2012,1
9462,5.00E+05,0,0,8371,8759,1015,5584,46,0
9463,50000,2,2,49732,48658,0,4000,1900,1
9464,120000,1,-2,0,0,0,0,0,0
9465,80000,0,0,51644,53177,3000,2037,1499,0
9466,50000,0,0,11367,10982,3000,1000,1000,0
9467,350000,0,0,39943,40859,1859,5398,10540,0
9468,60000,0,0,60000,60594,3100,2000,3800,0
9469,2.00E+05,-1,-1,935,1418,1418,0,300,1
9470,50000,0,0,45078,44291,3000,3000,1000,0
9471,90000,-2,-2,7489,5798,5833,15114,0,0
9472,360000,-1,-1,744,9613,9667,18781,58,0
9473,440000,2,2,225416,220405,0,10000,10000,1
9474,170000,0,0,168516,168529,6791,7333,4269,0
9475,190000,0,0,142272,143386,8007,8000,5500,0
9476,290000,1,-2,0,0,0,0,0,1
9477,210000,1,-1,0,1422,1422,0,0,0
9478,20000,0,-1,3395,2296,2296,396,8972,1
9479,4.00E+05,-2,-2,10043,17883,18057,9368,5616,0
9480,360000,1,-2,0,0,0,0,0,1
9481,250000,1,-1,0,4190,4190,25690,10180,1
9482,30000,0,0,27836,28998,2000,1200,0,0
9483,280000,0,0,257561,270827,20000,15000,161084,0
9484,70000,2,2,68766,70772,3700,2604,5001,1
9485,70000,0,0,35666,18116,5000,17831,15001,0
9486,20000,0,0,14591,16254,1900,1000,1000,0
9487,350000,-1,-1,15179,4981,4983,15084,1725,0
9488,2.00E+05,0,0,21111,25562,5000,5000,30000,0
9489,90000,0,0,6822,6995,1172,1061,0,1
9490,1.00E+05,0,0,4740,3584,2000,2000,2000,0
9491,50000,0,0,48255,41550,2400,1842,1928,0
9492,280000,-2,-2,2158,0,0,0,0,0
9493,50000,1,5,51106,50059,0,0,0,1
9494,120000,-2,-2,3570,3362,0,0,0,1
9495,1.00E+05,2,2,96889,102893,8513,128,3000,1
9496,130000,-1,-1,3920,3848,4000,942,768,0
9497,2.00E+05,0,0,196845,189104,8990,7000,6000,0
9498,350000,0,0,147070,109978,7331,10000,10000,0
9499,20000,0,0,19018,18581,1327,2000,710,0
9500,150000,0,0,125995,127467,5000,4723,11086,0
9501,130000,0,0,9255,10264,1204,1000,3000,0
9502,330000,0,0,173630,178833,8000,12000,8000,0
9503,80000,0,0,63134,57072,2087,2019,2500,0
9504,10000,3,2,10281,9949,25,4000,1000,0
9505,360000,1,-2,-1808,-1808,0,9091,825,0
9506,120000,0,0,43488,44785,2000,3200,1000,0
9507,20000,0,0,7130,8185,1177,1076,258,0
9508,280000,-1,2,199,199,0,0,0,0
9509,1.00E+05,-2,-2,0,0,0,0,0,0
9510,70000,0,0,63441,29091,1789,1500,1130,0
9511,350000,-2,-2,7914,4221,4221,23916,2965,0
9512,50000,0,0,22430,23763,2000,1500,1200,0
9513,470000,-1,0,37342,39348,2500,5000,5000,0
9514,350000,0,0,297967,286352,100066,5715,6287,0
9515,140000,0,0,140630,142166,6100,2411,2041,0
9516,140000,0,0,49235,45173,2517,1559,1003,0
9517,380000,-1,0,73903,66541,2924,2555,37056,0
9518,50000,1,2,33991,33168,0,2500,2900,1
9519,260000,0,0,97908,84773,2980,2338,5014,0
9520,20000,1,2,19045,20438,2000,0,0,0
9521,190000,-1,-1,157,-1049,0,0,2244,0
9522,220000,5,4,187665,175338,0,11,4561,0
9523,230000,0,0,111691,117858,8000,6000,5000,0
9524,20000,0,0,7470,8492,1145,1200,3000,0
9525,1.00E+05,0,0,21641,22983,2000,2000,1093,0
9526,150000,-1,-1,38052,0,0,18600,1527,0
9527,320000,-1,-1,11684,1127,1135,1952,5,0
9528,50000,0,0,76025,78548,3750,1558,1650,1
9529,50000,0,0,50302,49440,2100,1793,731,0
9530,370000,0,0,181221,180616,10073,6367,2000,0
9531,150000,-1,-1,58337,0,0,0,8758,0
9532,2.00E+05,-1,-1,390,390,390,390,390,1
9533,2.00E+05,-1,-1,170,1512,1525,0,2179,1
9534,30000,0,-1,1197,2536,2600,0,0,1
9535,2.00E+05,0,0,121198,123834,4593,14955,5166,0
9536,2.00E+05,-2,-2,0,1516,1516,11533,1000,0
9537,240000,0,0,138859,136521,5308,4915,4000,1
9538,40000,2,2,28953,35389,6918,0,0,1
9539,140000,0,0,97448,70631,1413,0,0,0
9540,50000,0,0,50497,49289,2011,5009,1000,0
9541,50000,0,0,38031,31677,2000,2000,2000,0
9542,160000,-1,-1,227,0,861,354,48,0
9543,140000,-1,-1,12319,0,0,0,500,0
9544,240000,0,0,230184,228640,9000,9000,7000,1
9545,230000,-1,-1,495,466,466,3461,495,0
9546,2.00E+05,0,0,165074,170905,10000,20000,5300,0
9547,50000,0,0,44767,45719,5001,2007,303,0
9548,360000,-1,-1,23725,45913,61137,79800,53710,0
9549,5.00E+05,1,-2,0,0,0,1680,6745,0
9550,20000,1,2,18977,18374,0,1680,1000,0
9551,80000,2,2,73113,74639,3300,2600,3000,0
9552,30000,-2,-2,616,0,0,0,0,0
9553,80000,0,0,14376,15689,1435,1139,500,0
9554,30000,0,0,27101,30360,4110,94,84,0
9555,2.00E+05,-2,-2,0,0,0,0,0,0
9556,240000,0,0,219419,151914,7000,10082,7015,0
9557,280000,0,0,255317,259137,9439,22000,0,1
9558,170000,-1,-1,1547,0,0,0,0,0
9559,1.00E+05,0,0,89988,92388,3852,4135,2521,0
